hanzi,pinyin,meaning
㤅,[ai4],archaic variant of 愛|爱[ai4]
恩,[en1],variant of 恩[en1]
㥁,[de2],variant of 德[de2]
㥏,[tian3],ashamed
惬,[qie4],variant of 愜|惬[qie4]
㥯,[yin3],cautious
㦂,[chang2],old variant of 常[chang2]
㧯,[lao3],round-bottomed wicker basket
拿,[na2],old variant of 拿[na2]
捷,[jie2],variant of 捷[jie2]
晃,[huang3],variant of 晃[huang3]
据,[ju4],variant of 據|据[ju4]
㩐,[den4],variant of 扽[den4]
携,[xie2],old variant of 攜|携[xie2]
㨫,[lan3],variant of 擥[lan3]
携,[xie2],old variant of 攜|携[xie2]
㪃,[he2],to beat
㪋,[han4],variant of 捍[han4]
散,[san4],variant of 散[san4]
敦,[dun1],variant of 敦[dun1]
㫺,[xi1],old variant of 昔[xi1]
暖,[nuan3],old variant of 暖[nuan3]
㬎,[xian3],old variant of 顯|显[xian3]
㮎,[bei1],variant of 杯[bei1]
㮚,[li4],old variant of 栗[li4]
㮸,[song4],variant of 送[song4]
橹,[lu3],variant of 櫓|橹[lu3]
㯳,[qing2],variant of 檠[qing2]
饮,[yin3],old variant of 飲|饮[yin3]
㱾,[gai1],a kind of metal or jade ornament worn in ancient times to ward off evil spirits
㲈,[shao2],variant of 韶[shao2]
㲈,[tao2],variant of 鞀[tao2]
㲋,[chuo4],ancient name for an animal similar to rabbit but bigger
㲱,[lie4],old variant of 鬣[lie4]
㲾,[yu3],old variant of 雨[yu3]
㳂,[yan2],variant of 沿[yan2]
涎,[xian2],variant of 涎[xian2]
法,[fa3],variant of 法[fa3]
㳮,[niao4],old variant of 尿[niao4]
深,[shen1],old variant of 深[shen1]
涧,[jian4],variant of 澗|涧[jian4]
㵪,[xian2],variant of 涎[xian2]
㵮,[chun2],clear water
㶸,[xie2],(precise meaning unknown, relates to iron)
㷖,[zhao4],old variant of 照[zhao4]
㷭,[feng1],old variant of 烽[feng1]
㹠,[tun2],old variant of 豚[tun2]
㹢,[jia1],see 玃[jue2]
㹴,[geng3],fierce dog
㹴犬,[geng3 quan3],variant of 梗犬[geng3 quan3]
㺢,[huo4],see 㺢㹢狓[huo4 jia1 pi1]
㺢㹢狓,[huo4 jia1 pi1],okapi
㺵,[jiu3],variant of 玖[jiu3]
㻽,[xuan2],variant of 璿|璇[xuan2]
碗,[wan3],variant of 碗[wan3]
留,[liu2],old variant of 留[liu2]
㽮,[xing1],old variant of 星[xing1]
瘪,[bie3],variant of 癟|瘪[bie3]
㿝,[xiang1],old variant of 香[xiang1]
䂖,[shi2],variant of 石[shi2]
䂲,[fa3],variant of 砝[fa3]
䂶,[jie2],variant of 蜐[jie2]
䃉,[min2],old variant of 珉[min2]
䅵,[zhuo2],chaff
䇲,[ce4],variant of 筴|策[ce4]
筲,[shao1],pot-scrubbing brush made of bamboo strips
糊,[hu2],variant of 糊[hu2]
䍃,[yao2],(archaic) vase
䍹,[shan1],variant of 羶[shan1]
䒗,[qi4],old variant of 芞[qi4]
䔢,[hua2],old variant of 華|华[hua2]
䕭,[qian2],a variety of grass
䕭,[xian2],a kind of vegetable
䖟,[meng2],old variant of 虻[meng2]
䖸,[e2],variant of 蛾[e2]
䗈,[meng2],old variant of 虻[meng2]
䗥,[zong1],see 螉䗥[weng1 zong1]
䗪,[zhe4],Chinese ground beetle (Eupolyphaga sinensis)
蜂,[feng1],variant of 蜂[feng1]
䗶,[la4],old variant of 蠟|蜡[la4]
恤,[xu4],variant of 恤[xu4]
脉,[mai4],old variant of 脈|脉[mai4]
卒,[zu2],variant of 卒[zu2]
词,[ci2],old variant of 詞|词[ci2]
䛟,[jia2],variant of 唊[jia2]
䝓,[lie4],old variant of 鬣[lie4]
獾,[huan1],variant of 獾[huan1]
䞓,[cheng1],old variant of 赬|赪[cheng1]
䟆,[bi4],old variant of 蹕|跸[bi4]
䟖,[zhi3],erroneous variant of 趾[zhi3]
䠀,[chang3],to squat
趟,[tang1],old variant of 趟[tang1]
䠞,[cu4],variant of 蹙[cu4]
射,[she4],old variant of 射[she4]
䤈,[xi1],old variant of 醯[xi1]
䥑,[mai4],meitnerium (chemistry)
镰,[lian2],old variant of 鐮|镰[lian2]
䥯,[ba4],plow
䦉,[si4],variant of 肆[si4]
䦕,[peng1],variant of 閛[peng1]
䩦,[tiao2],variant of 鞗[tiao2]
䫏,[qi1],mask of a god used in ceremonies to exorcise demons and drive away pestilence
飒,[sa4],variant of 颯|飒[sa4]
䬠,[fei1],old variant of 霏[fei1]
䬪,[bo2],variant of 餺|馎[bo2]
驮,[tuo2],variant of 馱|驮[tuo2]
䯝,[sui3],variant of 髓
魂,[hun2],old variant of 魂[hun2]
鲃,[ba1],see 䰾魚|鲃鱼[ba1 yu2]
鲃鱼,[ba1 yu2],barbel (fish)
䲔,[jing1],old variant of 鯨|鲸[jing1]
䳗,[e2],variant of 鵝|鹅[e2]
鹅,[e2],variant of 鵝|鹅[e2]
鹮,[huan2],spoonbill
鹮嘴鹬,[huan2 zui3 yu4],(bird species of China) ibisbill (Ibidorhyncha struthersii)
麸,[fu1],variant of 麩|麸[fu1]
䵹,[zhi1],old variant of 蜘[zhi1]
衄,[nu:4],old variant of 衄[nu:4]
䶑,[ti4],variant of 嚏[ti4]
一,[yi1],one
一一,[yi1 yi1],one by one
一一对应,[yi1 yi1 dui4 ying4],one-to-one correspondence
一一映射,[yi1 yi1 ying4 she4],bijective map (i.e. map between sets in math. that is one-to-one and onto)
一丁不识,[yi1 ding1 bu4 shi2],illiterate
一丁点,[yi1 ding1 dian3],a tiny bit
一下,[yi1 xia4],(used after a verb) give it a go
一下儿,[yi1 xia4 r5],erhua variant of 一下[yi1 xia4]
一下子,[yi1 xia4 zi5],in a short while
一不做，二不休,[yi1 bu4 zuo4 , er4 bu4 xiu1],don't do it, or don't rest (idiom); either give up, or go through to the end
一世,[yi1 shi4],generation
一丘之貉,[yi1 qiu1 zhi1 he2],jackals of the same tribe (idiom); fig. They are all just as bad as each other.
一并,[yi1 bing4],variant of 一併|一并, to lump together
一中一台,[yi1 Zhong1 yi1 Tai2],one China and one Taiwan (policy)
一中原则,[yi1 zhong1 yuan2 ze2],One-China principle, the official doctrine that Taiwan is a province of China
一之为甚,[yi1 zhi1 wei2 shen4],Once is enough (idiom)
一之谓甚,[yi1 zhi1 wei4 shen4],see 一之為甚|一之为甚[yi1 zhi1 wei2 shen4]
一干二净,[yi1 gan1 er4 jing4],thoroughly (idiom)
一了百了,[yi1 liao3 bai3 liao3],once the main problem is solved, all troubles are solved
一事无成,[yi1 shi4 wu2 cheng2],to have achieved nothing
一二,[yi1 er4],one or two
一二八事变,[Yi1 Er4 ba1 Shi4 bian4],Shanghai Incident of 28th January 1932, Chinese uprising against Japanese quarters of Shanghai
一五一十,[yi1 wu3 yi1 shi2],lit. count by fives and tens (idiom); to narrate systematically and in full detail
一些,[yi1 xie1],some
一人得道，鸡犬升天,[yi1 ren2 de2 dao4 , ji1 quan3 sheng1 tian1],lit. when a man achieves the Dao, his poultry and dogs rise to Heaven (idiom)
一介不取,[yi1 jie4 bu4 qu3],to not even take a penny (as a bribe)
一代,[yi1 dai4],generation
一代不如一代,[yi1 dai4 bu4 ru2 yi1 dai4],to be getting worse with each generation
一并,[yi1 bing4],to lump together
一来,[yi1 lai2],on one hand,...
一来二去,[yi1 lai2 er4 qu4],gradually
一个中国政策,[yi1 ge4 Zhong1 guo2 zheng4 ce4],one China policy
一个人,[yi1 ge4 ren2],by oneself (without assistance)
一个个,[yi1 ge4 ge4],each and every one
一个劲,[yi1 ge4 jin4],continuously
一个劲儿,[yi1 ge4 jin4 r5],erhua variant of 一個勁|一个劲[yi1 ge4 jin4]
一个天南，一个地北,[yi1 ge5 tian1 nan2 , yi1 ge5 di4 bei3],to live miles apart (idiom)
一个巴掌拍不响,[yi1 ge5 ba1 zhang3 pai1 bu4 xiang3],lit. one palm alone cannot clap (proverb)
一个幽灵在欧洲游荡,[Yi1 ge4 you1 ling2 zai4 Ou1 zhou1 you2 dang4],Ein Gespenst geht um in Europa.
一个接一个,[yi1 ge5 jie1 yi1 ge5],one by one
一个样,[yi1 ge5 yang4],same as 一樣|一样[yi1 yang4]
一个萝卜一个坑,[yi1 ge4 luo2 bo5 yi1 ge4 keng1],lit. every turnip to its hole (idiom)
一个头两个大,[yi1 ge5 tou2 liang3 ge5 da4],(coll.) to feel as though one's head could explode (Tw)
一倡三叹,[yi1 chang4 san1 tan4],(of literature, music) deeply moving (idiom)
一侧化,[yi1 ce4 hua4],lateralization
一传十，十传百,[yi1 chuan2 shi2 , shi2 chuan2 bai3],news pass quickly from mouth to mouth (idiom)
一价,[yi1 jia4],monovalent (chemistry)
一元,[yi1 yuan2],single variable (math.)
一元复始,[yi1 yuan2 fu4 shi3],a new year begins (idiom)
一元论,[yi1 yuan2 lun4],monism, belief that the universe is made of a single substance
一元醇,[yi1 yuan2 chun2],methyl alcohol CH3OH
一共,[yi1 gong4],altogether
一再,[yi1 zai4],repeatedly
一准,[yi1 zhun3],certainly
一刀两断,[yi1 dao1 liang3 duan4],lit. two segments with a single cut (idiom)
一刀切,[yi1 dao1 qie1],lit. to cut all at one stroke (idiom); to impose uniformity
一分一毫,[yi1 fen1 yi1 hao2],a tiny bit (idiom)
一分为二,[yi1 fen1 wei2 er4],one divides into two
一分耕耘，一分收获,[yi1 fen1 geng1 yun2 , yi1 fen1 shou1 huo4],you get what you put in
一分钱一分货,[yi1 fen1 qian2 yi1 fen1 huo4],nothing for nothing
一分钱两分货,[yi1 fen1 qian2 liang3 fen1 huo4],high quality at bargain price
一切,[yi1 qie4],everything
一切事物,[yi1 qie4 shi4 wu4],everything
一切向钱看,[yi1 qie4 xiang4 qian2 kan4],to put money above everything else
一切如旧,[yi1 qie4 ru2 jiu4],everything as before
一切就绪,[yi1 qie4 jiu4 xu4],everything in its place and ready (idiom)
一切险,[yi1 qie4 xian3],all risks (insurance)
一刻千金,[yi1 ke4 qian1 jin1],time is gold
一则,[yi1 ze2],on the one hand
一则以喜，一则以忧,[yi1 ze2 yi3 xi3 , yi1 ze2 yi3 you1],happy on the one hand, but worried on the other (idiom)
一动不动,[yi1 dong4 bu4 dong4],motionless
一劳永逸,[yi1 lao2 yong3 yi4],to get sth done once and for all
一匙,[yi1 chi2],spoonful
一千零一夜,[Yi1 qian1 Ling2 Yi1 Ye4],The Book of One Thousand and One Nights
一半,[yi1 ban4],half
一半天,[yi1 ban4 tian1],in a day or two
一卡通,[Yi1 ka3 tong1],Yikatong (Beijing public transport smart card)
一去不回,[yi1 qu4 bu4 hui2],gone forever
一去不复返,[yi1 qu4 bu4 fu4 fan3],gone forever
一去无影踪,[yi1 qu4 wu2 ying3 zong1],gone without a trace
一反常态,[yi1 fan3 chang2 tai4],complete change from the normal state (idiom); quite uncharacteristic
一口,[yi1 kou3],readily
一口吃不成胖子,[yi1 kou3 chi1 bu4 cheng2 pang4 zi5],lit. you cannot get fat with only one mouthful (proverb)
一口吃个胖子,[yi1 kou3 chi1 ge5 pang4 zi5],lit. to want to get fat with only one mouthful (proverb)
一口咬定,[yi1 kou3 yao3 ding4],to arbitrarily assert
一口气,[yi1 kou3 qi4],one breath
一口气儿,[yi1 kou3 qi4 r5],erhua variant of 一口氣|一口气[yi1 kou3 qi4]
一古脑儿,[yi1 gu3 nao3 r5],variant of 一股腦兒|一股脑儿[yi1 gu3 nao3 r5]
一句,[yi1 ju4],a line of verse
一句话,[yi1 ju4 hua4],in a word
一同,[yi1 tong2],along
一吐为快,[yi1 tu3 wei2 kuai4],to get sth off one's chest
一向,[yi1 xiang4],always (previously)
一周,[yi1 zhou1],one week
一味,[yi1 wei4],blindly
一呼百应,[yi1 hu1 bai3 ying4],a hundred answers to a single call (idiom)
一呼百诺,[yi1 hu1 bai3 nuo4],one command brings a hundred responses (idiom); having hundreds of attendants at one's beck and call
一命呜呼,[yi1 ming4 wu1 hu1],to die (idiom)
一命归天,[yi1 ming4 gui1 tian1],see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命归西,[yi1 ming4 gui1 xi1],see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命归阴,[yi1 ming4 gui1 yin1],see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一品,[yi1 pin3],superb
一品红,[yi1 pin3 hong2],poinsettia (Euphorbia pulcherrima)
一品锅,[yi1 pin3 guo1],chafing dish
一哄而散,[yi1 hong1 er2 san4],to disperse in confusion (idiom)
一哄而起,[yi1 hong1 er2 qi3],(of a group of people) to rush into action
一哭二闹三上吊,[yi1 ku1 er4 nao4 san1 shang4 diao4],to make a terrible scene (idiom)
一唱一和,[yi1 chang4 yi1 he4],to echo one another (idiom)
一唱三叹,[yi1 chang4 san1 tan4],see 一倡三歎|一倡三叹[yi1 chang4 san1 tan4]
一问三不知,[yi1 wen4 san1 bu4 zhi1],lit. to reply "don't know" whatever the question (idiom)
一回事,[yi1 hui2 shi4],one thing
一回生二回熟,[yi1 hui2 sheng1 er4 hui2 shu2],unfamiliar at first, but well accustomed soon enough (idiom)
一国两制,[yi1 guo2 liang3 zhi4],one country, two systems (PRC proposal regarding Hong Kong, Macau and Taiwan)
一团乱糟,[yi1 tuan2 luan4 zao1],a chaotic mess
一团和气,[yi1 tuan2 he2 qi4],to keep on the right side of everyone (idiom)
一团漆黑,[yi1 tuan2 qi1 hei1],pitch-black
一团火,[yi1 tuan2 huo3],fireball
一团糟,[yi1 tuan2 zao1],chaos
一堆,[yi1 dui1],pile
一场空,[yi1 chang2 kong1],all one's hopes and efforts come to nothing
一块,[yi1 kuai4],one block
一块儿,[yi1 kuai4 r5],erhua variant of 一塊|一块[yi1 kuai4]
一塌糊涂,[yi1 ta1 hu2 tu5],muddled and completely collapsing (idiom); in an awful condition
一尘不染,[yi1 chen2 bu4 ran3],untainted by even a speck of dust (idiom); selfless and incorruptible
一壁,[yi1 bi4],one side
一壁厢,[yi1 bi4 xiang1],see 一壁[yi1 bi4]
一夔已足,[yi1 kui2 yi3 zu2],one talented person is enough for the job (idiom)
一夕,[yi1 xi1],overnight
一夕数惊,[yi1 xi1 shu4 jing1],one scare after another (idiom)
一多对应,[yi1 duo1 dui4 ying4],one-to-many correspondence
一夜情,[yi1 ye4 qing2],one night stand
一夜爆红,[yi1 ye4 bao4 hong2],to become popular overnight
一夜露水,[yi1 ye4 lu4 shui5],one-night stand
一大早,[yi1 da4 zao3],at dawn
一大早儿,[yi1 da4 zao3 r5],erhua variant of 一大早[yi1 da4 zao3]
一天一个样,[yi1 tian1 yi1 ge5 yang4],to change from day to day
一天到晚,[yi1 tian1 dao4 wan3],all day long
一夫一妻,[yi1 fu1 yi1 qi1],lit. one husband one wife
一夫多妻,[yi1 fu1 duo1 qi1],polygamy
一夫当关，万夫莫开,[yi1 fu1 dang1 guan1 , wan4 fu1 mo4 kai1],one man can hold the pass against ten thousand enemies (idiom)
一失足成千古恨,[yi1 shi1 zu2 cheng2 qian1 gu3 hen4],a single slip may cause everlasting sorrow (idiom)
一套,[yi1 tao4],suit
一如,[yi1 ru2],to be just like
一如所料,[yi1 ru2 suo3 liao4],as expected
一如既往,[yi1 ru2 ji4 wang3],just as in the past (idiom); as before
一妻制,[yi1 qi1 zhi4],monogamy
一孔之见,[yi1 kong3 zhi1 jian4],partial view
一字,[yi1 zi4],in a row
一字一泪,[yi1 zi4 yi1 lei4],each word is a teardrop (idiom)
一字不差,[yi1 zi4 bu4 cha1],word for word
一字不提,[yi1 zi4 bu4 ti2],to not mention a single word (about sth) (idiom)
一字不漏,[yi1 zi4 bu4 lou4],without missing a word
一字不落,[yi1 zi4 bu4 la4],see 一字不漏[yi1 zi4 bu4 lou4]
一字不识,[yi1 zi4 bu4 shi2],totally illiterate
一字之师,[yi1 zi4 zhi1 shi1],one who can correct a misread or misspelt character and thus be your master
一字千金,[yi1 zi4 qian1 jin1],one word worth a thousand in gold (idiom)
一字巾,[yi1 zi4 jin1],headband
一字褒贬,[yi1 zi4 bao1 bian3],dispensing praise or blame with a single word (idiom)
一定,[yi1 ding4],surely
一定要,[yi1 ding4 yao4],must
一家,[yi1 jia1],the whole family
一家之主,[yi1 jia1 zhi1 zhu3],master of the house
一家人,[yi1 jia1 ren2],household
一家子,[yi1 jia1 zi5],the whole family
一审,[yi1 shen3],first instance (law)
一寸光阴一寸金,[yi1 cun4 guang1 yin1 yi1 cun4 jin1],lit. An interval of time is worth an ounce of gold. (idiom)
一寸光阴一寸金，寸金难买寸光阴,[yi1 cun4 guang1 yin1 yi1 cun4 jin1 , cun4 jin1 nan2 mai3 cun4 guang1 yin1],lit. An interval of time is worth an ounce of gold, money cannot buy you time. (idiom)
一对,[yi1 dui4],couple
一对一斗牛,[yi1 dui4 yi1 dou4 niu2],one-on-one basketball game
一对儿,[yi1 dui4 r5],a pair
一小撮,[yi1 xiao3 cuo1],handful (of)
一小部分,[yi1 xiao3 bu4 fen4],a small part
一小阵儿,[yi1 xiao3 zhen4 r5],very brief period of time
一展身手,[yi1 zhan3 shen1 shou3],to showcase one's (unique) talents
一层,[yi1 ceng2],layer
一帆风顺,[yi1 fan1 feng1 shun4],propitious wind throughout the journey (idiom)
一席之地,[yi1 xi2 zhi1 di4],(acknowledged) place
一席话,[yi1 xi2 hua4],the content of a conversation
一带,[yi1 dai4],region
一带而过,[yi1 dai4 er2 guo4],to skate around
一年之计在于春,[yi1 nian2 zhi1 ji4 zai4 yu2 chun1],the whole year must be planned for in the spring (idiom)
一年到头,[yi1 nian2 dao4 tou2],all year round
一年半,[yi1 nian2 ban4],a year and a half
一年半载,[yi1 nian2 ban4 zai3],about a year
一年四季,[yi1 nian2 si4 ji4],all year round
一年多,[yi1 nian2 duo1],more than a year
一年期,[yi1 nian2 qi1],one year period (in a contract or budget)
一年生,[yi1 nian2 sheng1],annual (botany)
一年被蛇咬十年怕井绳,[yi1 nian2 bei4 she2 yao3 shi2 nian2 pa4 jing3 sheng2],bitten by a snake in one year, fears the well rope for ten years (idiom); once bitten twice shy
一度,[yi1 du4],for a time
一厢情愿,[yi1 xiang1 qing2 yuan4],one's own wishful thinking
一式二份,[yi1 shi4 er2 fen4],in duplicate
一弹指顷,[yi1 tan2 zhi3 qing3],a snap of the fingers (idiom); in a flash
一往情深,[yi1 wang3 qing2 shen1],deeply attached
一往无前,[yi1 wang3 wu2 qian2],to advance courageously (idiom)
一往直前,[yi1 wang3 zhi2 qian2],see 一往無前|一往无前[yi1 wang3 wu2 qian2]
一律,[yi1 lu:4],same
一径,[yi1 jing4],directly
一心,[yi1 xin1],wholeheartedly
一心一德,[yi1 xin1 yi1 de2],of one heart and one mind (idiom)
一心一意,[yi1 xin1 yi1 yi4],concentrating one's thoughts and efforts
一心二用,[yi1 xin1 er4 yong4],to do two things at once (idiom)
一念之差,[yi1 nian4 zhi1 cha1],momentary slip
一意,[yi1 yi4],focus
一意孤行,[yi1 yi4 gu1 xing2],obstinately clinging to one's course (idiom)
一应,[yi1 ying1],all
一应俱全,[yi1 ying1 ju4 quan2],with everything needed available
一成不变,[yi1 cheng2 bu4 bian4],nothing much changes (idiom); always the same
一房一厅,[yi1 fang2 yi1 ting1],one bedroom and one living room
一手,[yi1 shou3],a skill
一手交钱，一手交货,[yi1 shou3 jiao1 qian2 , yi1 shou3 jiao1 huo4],lit. one hand exchanges the cash, the other the goods (idiom)
一手包办,[yi1 shou3 bao1 ban4],to take care of a matter all by oneself
一手遮天,[yi1 shou3 zhe1 tian1],lit. to hide the sky with one hand
一打,[yi1 da2],dozen
一技之长,[yi1 ji4 zhi1 chang2],proficiency in a particular field (idiom)
一把好手,[yi1 ba3 hao3 shou3],expert
一把屎一把尿,[yi1 ba3 shi3 yi1 ba3 niao4],to have endured all sorts of hardships (to raise one's children) (idiom)
一把手,[yi1 ba3 shou3],working hand
一把抓,[yi1 ba3 zhua1],to attempt all tasks at once
一把死拿,[yi1 ba3 si3 na2],stubborn
一把眼泪一把鼻涕,[yi1 ba3 yan3 lei4 yi1 ba3 bi2 ti4],with one's face covered in tears (idiom)
一把钥匙开一把锁,[yi1 ba3 yao4 shi5 kai1 yi1 ba3 suo3],One key opens one lock.
一抓一大把,[yi1 zhua1 yi1 da4 ba3],a dime a dozen
一折两段,[yi1 zhe2 liang3 duan4],to split sth into two (idiom)
一抿子,[yi1 min3 zi5],a little bit
一拍两散,[yi1 pai1 liang3 san4],(of marriage or business partners) to break up (idiom)
一拍即合,[yi1 pai1 ji2 he2],lit. to be together from the first beat (idiom)
一扫而光,[yi1 sao3 er2 guang1],to clear off
一扫而空,[yi1 sao3 er2 kong1],to sweep clean
一排,[yi1 pai2],row
一探究竟,[yi1 tan4 jiu1 jing4],to check out
一掬同情之泪,[yi1 ju1 tong2 qing2 zhi1 lei4],to shed tears of sympathy (idiom)
一挥而就,[yi1 hui1 er2 jiu4],to finish (a letter, a painting) at a stroke
一拨儿,[yi1 bo1 r5],group of people
一拥而上,[yi1 yong1 er2 shang4],to swarm around
一拥而入,[yi1 yong1 er2 ru4],to swarm in (of people etc) (idiom)
一击入洞,[yi1 ji1 ru4 dong4],hole in one (golf)
一掷千金,[yi1 zhi4 qian1 jin1],lit. stake a thousand pieces of gold on one throw (idiom); to throw away money recklessly
一揽子,[yi1 lan3 zi5],all-inclusive
一改故辙,[yi1 gai3 gu4 zhe2],complete change from the old rut (idiom); dramatic change of direction
一败涂地,[yi1 bai4 tu2 di4],failed and wiped over the floor (idiom); to fail utterly
一文不值,[yi1 wen2 bu4 zhi2],worthless (idiom)
一文不名,[yi1 wen2 bu4 ming2],to be penniless
一斑,[yi1 ban1],lit. one spot (on the leopard)
一方,[yi1 fang1],a party (in a contract or legal case)
一方面,[yi1 fang1 mian4],on the one hand
一旁,[yi1 pang2],aside
一族,[yi1 zu2],social group
一日三秋,[yi1 ri4 san1 qiu1],a single day apart seems like three seasons (idiom)
一日三餐,[yi1 ri4 san1 can1],to have three meals a day
一日不见，如隔三秋,[yi1 ri4 bu4 jian4 , ru2 ge2 san1 qiu1],one day apart seems like three years (idiom)
一日之计在于晨,[yi1 ri4 zhi1 ji4 zai4 yu2 chen2],make your day's plan early in the morning (idiom)
一日之雅,[yi1 ri4 zhi1 ya3],lit. friends for a day (idiom)
一日千里,[yi1 ri4 qian1 li3],lit. one day, a thousand miles (idiom); rapid progress
一日为师，终身为父,[yi1 ri4 wei2 shi1 , zhong1 shen1 wei2 fu4],lit. teacher for one day, father for ever (idiom)
一旦,[yi1 dan4],in case (sth happens)
一早,[yi1 zao3],early in the morning
一星半点,[yi1 xing1 ban4 dian3],just the tiniest bit
一是一，二是二,[yi1 shi4 yi1 , er4 shi4 er4],lit. one is one, two is two (idiom)
一时,[yi1 shi2],a period of time
一时半刻,[yi1 shi2 ban4 ke4],a short time
一时半晌,[yi1 shi2 ban4 shang3],a short time
一时半会,[yi1 shi2 ban4 hui4],a short time
一时半会儿,[yi1 shi2 ban4 hui4 r5],a short time
一时半霎,[yi1 shi2 ban4 sha4],a short time
一时瑜亮,[yi1 shi2 Yu2 Liang4],two remarkable persons living at the same period (as 周瑜[Zhou1 Yu2] and 諸葛亮|诸葛亮[Zhu1 ge3 Liang4])
一时间,[yi1 shi2 jian1],for a moment
一晃,[yi1 huang3],(of passing time) in an instant
一暴十寒,[yi1 pu4 shi2 han2],one day's sun, ten days' frost (idiom, from Mencius); fig. to work for a bit then skimp
一曝十寒,[yi1 pu4 shi2 han2],one day's sun, ten days' frost (idiom, from Mencius); fig. to work for a bit then skimp
一更,[yi1 geng1],first of the five night watch periods 19:00-21:00 (old)
一会,[yi1 hui4],a moment
一会儿,[yi1 hui4 r5],a moment
一月,[Yi1 yue4],January
一月份,[yi1 yue4 fen4],January
一望无垠,[yi1 wang4 wu2 yin2],to stretch as far as the eye can see (idiom)
一望无际,[yi1 wang4 wu2 ji4],as far as the eye can see (idiom)
一望而知,[yi1 wang4 er2 zhi1],to be evident at a glance (idiom)
一朝一夕,[yi1 zhao1 yi1 xi1],lit. one morning and one evening (idiom)
一朝被蛇咬，十年怕井绳,[yi1 zhao1 bei4 she2 yao3 , shi2 nian2 pa4 jing3 sheng2],once bitten by a snake, ten years in fear of a well rope
一木难支,[yi1 mu4 nan2 zhi1],lit. a single post cannot prop up a falling house (idiom)
一本正经,[yi1 ben3 zheng4 jing1],in deadly earnest
一本万利,[yi1 ben3 wan4 li4],small capital, huge profit (idiom); to put in a little and get a lot out
一杯羹,[yi1 bei1 geng1],lit. a cup of soup
一东一西,[yi1 dong1 yi1 xi1],far apart
一板一眼,[yi1 ban3 yi1 yan3],lit. one strong beat and one weak beats in a measure of music (two beats in the bar) (idiom); fig. follow a prescribed pattern to the letter
一板三眼,[yi1 ban3 san1 yan3],lit. one strong beat and three weak beats in a measure of music (four beats in the bar) (idiom); fig. scrupulous attention to detail
一枝独秀,[yi1 zhi1 du2 xiu4],lit. only one branch of the tree is thriving (idiom)
一柱擎天,[yi1 zhu4 qing2 tian1],lit. to support the sky as a single pillar (idiom)
一根筋,[yi1 gen1 jin1],stubborn
一根绳上的蚂蚱,[yi1 gen1 sheng2 shang4 de5 ma4 zha5],see 一條繩上的螞蚱|一条绳上的蚂蚱[yi1 tiao2 sheng2 shang4 de5 ma4 zha5]
一杆进洞,[yi1 gan1 jin4 dong4],(golf) hole in one
一条心,[yi1 tiao2 xin1],to be of one mind
一条绳上的蚂蚱,[yi1 tiao2 sheng2 shang4 de5 ma4 zha5],lit. like locusts tied to one rope (idiom)
